customer_id,created_at,score
1851215,2017-11-09 15:20:25,0
1851216,2017-11-09 15:20:25,16
1851217,2017-11-09 15:20:25,26
1851218,2017-11-09 15:20:25,15
1851219,2017-11-09 15:20:25,0
1851220,2017-11-09 15:20:25,10
1851221,2017-11-09 15:20:25,0
1851222,2017-11-09 15:20:25,30
1851223,2017-11-09 15:20:25,0
1851224,2017-11-09 15:20:25,90
1851225,2017-11-09 15:20:25,21
1851226,2017-11-09 15:20:25,9
1851227,2017-11-09 15:20:25,0
1851228,2017-11-09 15:20:25,90
1851229,2017-11-09 15:20:25,19
1851230,2017-11-09 15:20:25,0
1851231,2017-11-09 15:20:25,0
1851232,2017-11-09 15:20:25,1
1851233,2017-11-09 15:20:25,23
1851234,2017-11-09 15:20:25,0
1851235,2017-11-09 15:20:25,23
1851236,2017-11-09 15:20:25,22
1851237,2017-11-09 15:20:25,0
1851238,2017-11-09 15:20:25,0
1851239,2017-11-09 15:20:25,32
1851240,2017-11-09 15:20:25,11
1851241,2017-11-09 15:20:25,31
1851242,2017-11-09 15:20:25,0
1851243,2017-11-09 15:20:25,6
1851244,2017-11-09 15:20:25,22
1851245,2017-11-09 15:20:25,0
1851246,2017-11-09 15:20:25,22
1851247,2017-11-09 15:20:25,46
1851248,2017-11-09 15:20:25,90
1851249,2017-11-09 15:20:25,37
1851250,2017-11-09 15:20:25,28
1851251,2017-11-09 15:20:25,3
1851252,2017-11-09 15:20:25,19
1851253,2017-11-09 15:20:25,19
1851254,2017-11-09 15:20:25,0
1851255,2017-11-09 15:20:25,22
1851256,2017-11-09 15:20:25,14
1851257,2017-11-09 15:20:25,0
1851258,2017-11-09 15:20:25,21
1851259,2017-11-09 15:20:25,20
1851260,2017-11-09 15:20:25,22
1851261,2017-11-09 15:20:25,15
1851262,2017-11-09 15:20:25,0
1851263,2017-11-09 15:20:25,14
1851264,2017-11-09 15:20:25,22
1851265,2017-11-09 15:20:25,21
1851266,2017-11-09 15:20:25,16
